Frame,Agent_ID,Pos_X,Pos_Y,Velocity,Status,Min_Neighbor_Dist
29,4,-15.91,390.12,0.70,Moving,40.65
29,5,57.37,364.00,2.00,Moving,40.02
29,6,96.65,378.59,2.00,Moving,39.47
29,7,138.96,371.05,2.00,Moving,34.95
29,8,-7.72,429.93,0.96,Moving,40.65
29,9,39.29,431.67,1.65,Moving,47.04
29,10,90.26,452.46,2.00,Moving,47.65
29,11,136.37,440.45,2.00,Moving,47.65
30,0,5.36,332.57,1.66,Moving,53.33
30,1,57.94,323.64,2.00,Moving,39.69
30,2,96.60,338.59,2.00,Moving,36.14
30,3,132.61,335.49,1.99,Moving,35.43
30,4,-15.12,389.79,0.85,Moving,41.47
30,5,59.25,363.31,2.00,Moving,39.69
30,6,98.43,377.67,2.00,Moving,39.12
30,7,140.66,369.99,2.00,Moving,35.43
30,8,-6.72,430.40,1.10,Moving,41.47
30,9,40.98,432.30,1.80,Moving,47.73
30,10,92.15,453.11,2.00,Moving,47.45
30,11,138.13,441.39,2.00,Moving,47.45
31,0,7.10,332.14,1.79,Moving,53.55
31,1,59.91,323.28,2.00,Moving,39.37
31,2,98.51,338.00,2.00,Moving,35.89
31,3,134.23,334.54,1.88,Moving,35.34
31,4,-14.19,389.42,1.00,Moving,42.35
31,5,61.13,362.63,2.00,Moving,39.37
31,6,100.20,376.74,2.00,Moving,38.78
31,7,142.36,368.94,2.00,Moving,35.34
31,8,-5.58,430.88,1.24,Moving,42.35
31,9,42.81,432.96,1.95,Moving,48.43
31,10,94.04,453.76,2.00,Moving,47.26
31,11,139.90,442.33,2.00,Moving,47.26
32,0,8.98,331.76,1.92,Moving,53.63
32,1,61.87,322.91,2.00,Moving,39.05
32,2,100.43,337.42,2.00,Moving,35.88
32,3,136.16,334.12,1.97,Moving,34.68
32,4,-13.12,389.00,1.15,Moving,43.30
32,5,63.01,361.94,2.00,Moving,39.05
32,6,101.98,375.82,2.00,Moving,38.43
32,7,144.06,367.88,2.00,Moving,34.68
32,8,-4.28,431.39,1.39,Moving,43.30
32,9,44.69,433.63,2.00,Moving,49.03
32,10,95.93,454.40,2.00,Moving,47.06
32,11,141.66,443.27,2.00,Moving,47.06
33,0,10.95,331.40,2.00,Moving,53.63
33,1,63.84,322.55,2.00,Moving,38.72
33,2,102.34,336.84,2.00,Moving,35.67
33,3,137.82,333.16,1.92,Moving,34.59
33,4,-11.90,388.53,1.30,Moving,44.31
33,5,64.89,361.26,2.00,Moving,38.72
33,6,103.75,374.90,2.00,Moving,38.09
33,7,145.75,366.82,2.00,Moving,34.59
33,8,-2.84,431.91,1.53,Moving,44.31
33,9,46.58,434.30,2.00,Moving,49.48
33,10,97.83,455.05,2.00,Moving,46.87
33,11,143.43,444.21,2.00,Moving,46.87
34,0,12.91,331.04,2.00,Moving,53.63
34,1,65.80,322.18,2.00,Moving,38.40
34,2,104.25,336.25,2.00,Moving,35.32
34,3,139.31,331.95,1.91,Moving,34.78
34,4,-10.54,388.02,1.45,Moving,45.39
34,5,66.77,360.57,2.00,Moving,38.40
34,6,105.52,373.97,2.00,Moving,37.74
34,7,147.45,365.77,2.00,Moving,34.78
34,8,-1.25,432.45,1.68,Moving,45.39
34,9,48.46,434.97,2.00,Moving,49.77
34,10,99.72,455.70,2.00,Moving,46.68
34,11,145.19,445.15,2.00,Moving,46.68
35,0,14.88,330.68,2.00,Moving,53.63
35,1,67.77,321.82,2.00,Moving,38.08
35,2,106.17,335.67,2.00,Moving,34.83
35,3,140.62,330.51,1.95,Moving,34.83
35,4,-9.04,387.46,1.60,Moving,46.53
35,5,68.65,359.89,2.00,Moving,38.08
35,6,107.30,373.05,2.00,Moving,37.40
35,7,149.15,364.71,2.00,Moving,35.25
35,8,0.49,433.00,1.83,Moving,46.53
35,9,50.35,435.64,2.00,Moving,49.92
35,10,101.61,456.34,2.00,Moving,46.49
35,11,146.96,446.09,2.00,Moving,46.49
36,0,16.85,330.32,2.00,Moving,53.63
36,1,69.74,321.45,2.00,Moving,37.76
36,2,107.64,335.18,1.55,Moving,35.05
36,3,142.24,329.58,1.87,Moving,35.05
36,4,-7.40,386.86,1.75,Moving,47.73
36,5,70.52,359.20,2.00,Moving,37.76
36,6,109.07,372.12,2.00,Moving,36.97
36,7,150.85,363.65,2.00,Moving,35.15
36,8,2.38,433.58,1.97,Moving,47.73
36,9,52.23,436.31,2.00,Moving,49.92
36,10,103.50,456.99,2.00,Moving,46.30
36,11,148.72,447.03,2.00,Moving,46.30
37,0,18.82,329.96,2.00,Moving,53.63
37,1,71.70,321.09,2.00,Moving,37.43
37,2,109.26,334.67,1.70,Moving,35.36
37,3,144.18,329.15,1.99,Moving,34.48
37,4,-5.61,386.21,1.90,Moving,48.96
37,5,72.40,358.51,2.00,Moving,37.43
37,6,110.84,371.20,2.00,Moving,36.57
37,7,152.54,362.60,2.00,Moving,34.48
37,8,4.30,434.16,2.00,Moving,48.96
37,9,54.12,436.98,2.00,Moving,49.90
37,10,105.40,457.64,2.00,Moving,46.12
37,11,150.49,447.97,2.00,Moving,46.12
38,0,20.78,329.60,2.00,Moving,53.63
38,1,73.67,320.72,2.00,Moving,37.11
38,2,111.03,334.11,1.85,Moving,35.32
38,3,145.85,328.19,1.91,Moving,34.39
38,4,-3.73,385.52,2.00,Moving,50.20
38,5,74.28,357.83,2.00,Moving,37.11
38,6,112.62,370.27,2.00,Moving,36.19
38,7,154.24,361.54,2.00,Moving,34.39
38,8,6.21,434.74,2.00,Moving,49.88
38,9,56.00,437.65,2.00,Moving,49.88
38,10,107.29,458.28,2.00,Moving,45.93
38,11,152.25,448.91,2.00,Moving,45.93
39,0,22.75,329.25,2.00,Moving,53.63
39,1,75.64,320.35,2.00,Moving,36.79
39,2,112.94,333.53,2.00,Moving,35.00
39,3,147.32,327.00,1.90,Moving,34.57
39,4,-1.85,384.84,2.00,Moving,51.45
39,5,76.16,357.14,2.00,Moving,36.79
39,6,114.39,369.35,2.00,Moving,35.85
39,7,155.94,360.48,2.00,Moving,34.57
39,8,8.12,435.31,2.00,Moving,49.85
39,9,57.88,438.32,2.00,Moving,49.85
39,10,109.18,458.93,2.00,Moving,45.75
39,11,154.02,449.85,2.00,Moving,45.75
40,0,24.72,328.89,2.00,Moving,53.63
40,1,77.60,319.99,2.00,Moving,36.47
40,2,114.42,333.06,1.55,Moving,35.01
40,3,148.61,325.58,1.92,Moving,35.01
40,4,0.03,384.16,2.00,Moving,52.69
40,5,78.04,356.46,2.00,Moving,36.47
40,6,116.16,368.43,2.00,Moving,35.41
40,7,157.64,359.42,2.00,Moving,35.03
40,8,10.04,435.89,2.00,Moving,49.83
40,9,59.77,438.99,2.00,Moving,49.83
40,10,111.07,459.58,2.00,Moving,45.56
40,11,155.78,450.79,2.00,Moving,45.56
41,0,26.69,328.53,2.00,Moving,53.63
41,1,79.57,319.62,2.00,Moving,36.15
41,2,116.04,332.55,1.70,Moving,35.01
41,3,150.24,324.65,1.88,Moving,34.92
41,4,1.91,383.48,2.00,Moving,53.93
41,5,79.92,355.77,2.00,Moving,36.15
41,6,117.94,367.50,2.00,Moving,35.01
41,7,159.34,358.37,2.00,Moving,34.92
41,8,11.95,436.47,2.00,Moving,49.80
41,9,61.65,439.66,2.00,Moving,49.80
41,10,112.97,460.23,2.00,Moving,45.38
41,11,157.55,451.73,2.00,Moving,45.38
42,0,28.65,328.17,2.00,Moving,53.63
42,1,81.54,319.26,2.00,Moving,35.83
42,2,117.80,332.00,1.85,Moving,34.63
42,3,151.71,323.47,1.88,Moving,34.96
42,4,3.79,382.80,2.00,Moving,55.18
42,5,81.80,355.08,2.00,Moving,35.83
42,6,119.71,366.58,2.00,Moving,34.63
42,7,161.03,357.31,2.00,Moving,35.10
42,8,13.87,437.05,2.00,Moving,49.78
42,9,63.54,440.33,2.00,Moving,49.78
42,10,114.86,460.87,2.00,Moving,45.21
42,11,159.32,452.67,2.00,Moving,45.21
43,0,30.62,327.81,2.00,Moving,53.63
43,1,83.50,318.89,2.00,Moving,35.51
43,2,119.28,331.33,1.62,Moving,34.39
43,3,153.51,322.78,1.93,Moving,34.72
43,4,5.67,382.12,2.00,Moving,56.42
43,5,83.68,354.40,2.00,Moving,35.51
43,6,121.49,365.65,2.00,Moving,34.39
43,7,162.73,356.25,2.00,Moving,34.72
43,8,15.78,437.63,2.00,Moving,49.75
43,9,65.42,441.00,2.00,Moving,49.75
43,10,116.75,461.52,2.00,Moving,45.03
43,11,161.08,453.61,2.00,Moving,45.03
44,0,32.59,327.45,2.00,Moving,53.63
44,1,85.47,318.53,2.00,Moving,35.19
44,2,120.55,330.40,1.57,Moving,34.43
44,3,155.15,321.82,1.90,Moving,34.65
44,4,7.55,381.44,2.00,Moving,57.67
44,5,85.55,353.71,2.00,Moving,35.19
44,6,123.26,364.73,2.00,Moving,34.43
